Country,Region,adm1_code
Mexico,Tamaulipas,2055
Mexico,Tlaxcala,2056
Mexico,Veracruz,2057
Mexico,Yucatan,2058
Mexico,Zacatecas,2059
"Moldova, Republic of",Balti,2062
"Moldova, Republic of",Cahul,2063
"Moldova, Republic of",Chisinau,2064
"Moldova, Republic of",Dubasari,2066
"Moldova, Republic of",Edinet,2067
"Moldova, Republic of",Gagauzia,2068
"Moldova, Republic of",Lapusna,2069
"Moldova, Republic of",Orhei,2070
"Moldova, Republic of",Soroca,2071
"Moldova, Republic of",Tighina,2072
"Moldova, Republic of",Ungheni,2073
Mongolia,Arxangai,2075
Mongolia,Bayan-O'lgii,2076
Mongolia,Bayanxongor,2077
Mongolia,Bulgan,2078
Mongolia,Darxan-Uul,2079
Mongolia,Dornod,2081
Mongolia,Dornogovi,2082
Mongolia,Dundgovi,2083
Mongolia,Govi-Altai,2085
Mongolia,Govisu'mber,2084
Mongolia,O'mnogovi,2089
Mongolia,O'vorxangai,2091
Mongolia,Orxon,2090
Mongolia,Selenge,2092
Mongolia,Su'xbaatar,2093
Mongolia,To'v,2094
Mongolia,Ulaanbaatar,2095
Mongolia,Uvs,2096
Mongolia,Xentii,2086
Mongolia,Xo'vsgol,2088
Mongolia,Xovd,2087
Mongolia,Zavxan,2097
Morocco,Chaouia - Ouardigha,147326
Morocco,Doukkala - Abda,147327
Morocco,Fès - Boulemane,147328
Morocco,Gharb - Chrarda - Béni Hssen,147329
Morocco,Grand Casablanca,147330
Morocco,Guelmim - Es-Semara,147331
Morocco,Laâyoune - Boujdour - Sakia El Hamra,147332
Morocco,Marrakech - Tensift - Al Haouz,147333
Morocco,Meknès - Tafilalet,2107
Morocco,Oriental,2109
Morocco,Rabat - Salé - Zemmour - Zaer,147334
Morocco,Souss - Massa - Draâ,147335
Morocco,Tadla - Azilal,147336
Morocco,Tanger - Tétouan,147337
Morocco,Taza - Al Hoceima - Taounate,147338
Mozambique,Cabo Delgado,2112
Mozambique,Gaza,2113
Mozambique,Inhambane,2114
Mozambique,Lago niassa,65246
Mozambique,Manica,2115
Mozambique,Maputo,41373
Mozambique,Nampula,2118
Mozambique,Niassa,2119
Mozambique,Sofala,2120
Mozambique,Tete,2121
Mozambique,Zambezia,2122
Myanmar,Ayeyawaddy,2126
Myanmar,Bago (E),41772
Myanmar,Bago (W),41773
Myanmar,Chin,2125
Myanmar,Kachin,2127
Myanmar,Kayar,2129
Myanmar,Kayin,2128
Myanmar,Magway,2130
Myanmar,Mandalay,2131
Myanmar,Mon,2132
Myanmar,Rakhine,2123
Myanmar,Sagaing,2133
Myanmar,Shan (E),41774
Myanmar,Shan (N),41775
Myanmar,Shan (S),41776
Myanmar,Taninthayi,2135
Myanmar,Yangon,2136
Namibia,Caprivi,2137
Namibia,Erongo,2138
Namibia,Hardap,2139
Namibia,Karas,2140
Namibia,Kavango,2141
Namibia,Khomas,2142
Namibia,Kunene,2143
Namibia,Ohangwena,2144
Namibia,Omaheke,2145
Namibia,Omusati,2146
Namibia,Oshana,2147
Namibia,Oshikoto,2148
Namibia,Otjozondjupa,2149
Nepal,Central,2152
Nepal,Eastern,2153
Nepal,Far Western,2154
Nepal,Mid Western,2155
Nepal,Western,2156
Nicaragua,Atlantico Norte,2185
Nicaragua,Atlantico Sur,2186
Nicaragua,Boaco,2187
Nicaragua,Carazo,2188
Nicaragua,Chinandega,2189
Nicaragua,Chontales,2190
Nicaragua,Esteli,2191
Nicaragua,Granada,2192
Nicaragua,Jinotega,2193
Nicaragua,Leon,2194
Nicaragua,Madriz,2195
Nicaragua,Managua,2196
Nicaragua,Masaya,2197
Nicaragua,Matagalpa,2198
Nicaragua,Nueva Segovia,2199
Nicaragua,Rio San Juan,2200
Nicaragua,Rivas,2201
Niger,Agadez,2202
Niger,Diffa,2203
Niger,Dosso,2204
Niger,Maradi,2205
Niger,Niamey,2206
Niger,Tahoua,2207
Niger,Tillaberi,2208
Niger,Zinder,2209
Nigeria,Abia,65698
Nigeria,Abuja,2221
Nigeria,Adamawa,2211
Nigeria,Akwa Ibom,2212
Nigeria,Anambra,2213
Nigeria,Bauchi,65699
Nigeria,Bayelsa,65700
Nigeria,Benue,2215
Nigeria,Borno,2216
Nigeria,Cross River,2217
Nigeria,Delta,2218
Nigeria,Ebonyi,65701
Nigeria,Edo,2219
Nigeria,Ekiti,65702
Nigeria,Enugu,65703
Nigeria,Gombe,65704
Nigeria,Imo,2222
Nigeria,Jigawa,2223
Nigeria,Kaduna,2224
Nigeria,Kano,2225
Nigeria,Katsina,2226
