Country,ADM1_CODE,ADM2_CODE,ADM2_NAME,Year,Median_Pop,StdDev_Pop,Total_Pop,Mean_GPP,StdDev_GPP,Mean_LST,StdDev_LST,Mean_NTL,StdDev_NTL,Sum_NTL,Median_NDVI,StdDev_NDVI
Turkey,3032,27618,Sogut,2023,-0.02529,5.20473,22079.84924,0.005274504522621,21223.69237424183,282.11514277069347,2.506663267325259,10.108163768852236,15.831001872851592,1611.479143902549,0.3802745640277862,0.0653154967402007
Turkey,3032,27618,Sogut,2024,-0.067,5.44554,22575.95106,0.0052732854642308,21235.941208284978,282.2565615939918,2.2107690369340256,10.04583557797873,15.406176507667256,1601.5425637316446,0.3680877536535263,0.0709258616382322
Turkey,3033,27620,Adakli,2015,0.1077309982399949,0.6992347194051759,3873.158510702329,0.0006464121058649746,776.3684462322186,277.6477692307693,0.0,1.9439377669096625,3.1324340216601056,160.82845124899274,0.3217436969280243,0.0536279772597419
Turkey,3033,27620,Adakli,2016,0.0880250831417626,0.9125036993005536,4555.6499562252175,0.0006764650842014376,871.4611074920557,276.5761089494163,0.0,2.00340559388575,3.226836172256096,165.74842280081435,0.305614024400711,0.0430970410494975
Turkey,3033,27620,Adakli,2017,0.0886530735097017,0.8287964851246552,4339.08139777166,0.0005975481345839021,773.6656735079588,277.1936496350367,0.0,2.0260032556729155,2.8323536954902173,167.6180026860059,0.2837811112403869,0.0444099568997269
Turkey,3033,27620,Adakli,2018,0.0876268695137294,0.970114607369286,4466.304616903673,0.0007169154038708433,922.8743661666095,279.1808333333334,0.0,1.9450397349230328,2.9678598514539685,160.91962073596557,0.327723741531372,0.04539500179253
Turkey,3033,27620,Adakli,2019,0.0876160096525827,1.09694876144682,4741.471181925663,0.0006477073870061956,911.7164500783286,278.42948717948707,0.0,2.318534349816665,3.226181100309486,191.82007520816543,0.2839168608188629,0.0499386182270349
Turkey,3033,27620,Adakli,2020,0.0867113426962929,1.1221036564248132,4908.90800985322,0.0006959747679838363,887.5541577333104,278.07451851851886,0.0,2.1123965389117303,3.079087555319913,174.7656069859638,0.3234618604183197,0.0495375376451513
Turkey,3033,27620,Adakli,2021,0.08617,1.14311,4982.88998,0.0005637912676566457,956.7606947620944,278.4587169811321,0.0,2.0630923984726985,2.876863653067532,170.6865111003079,0.2780573070049286,0.0506676225967226
Turkey,3033,27620,Adakli,2022,0.08563,1.16412,5056.87195,0.0006066102721962599,868.4740510764768,277.4438938053097,0.0,2.3293406781701824,3.155224745209709,192.71411877394644,0.3059861660003662,0.0436225088679623
Turkey,3033,27620,Adakli,2023,0.08509,1.18513,5130.85393,0.0007244012165337964,855.351848825583,278.37357142857144,0.0,2.447319445321616,3.2308001954797154,202.4748954429417,0.3627089659372965,0.0467847225063854
Turkey,3033,27620,Adakli,2024,0.08454,1.20613,5204.8359,0.0007141397472395034,890.7229689316237,277.6914159292034,0.0,2.161409533025501,2.751707914163666,178.8206153656431,0.3080652356147766,0.0438655272229842
Turkey,3033,27621,Genc,2015,0.1271443963047438,2.1916554533220003,17880.032827056577,0.0006745118309604384,10085.827067132332,279.8213382041609,1.178524297366692,3.397023182420313,5.628732201617445,569.9139167338172,0.3330742120742798,0.063836546915157
Turkey,3033,27621,Genc,2016,0.1138444337028104,2.7925160414514925,20976.02046316348,0.0006522594741347335,10126.047939798624,279.6773515169538,1.0921182306614006,3.695834375941623,6.395407492230597,620.0450605378767,0.276403464405917,0.0534605474719573
Turkey,3033,27621,Genc,2017,0.1155394140534634,2.6456668143771016,20142.827886805306,0.0005874247758829462,10240.882294708315,279.71942617501577,1.0264935929538055,4.151442174592295,6.797753012957285,696.4817555734625,0.2700649559497833,0.0568059798664148
Turkey,3033,27621,Genc,2018,0.1122842193504069,2.744578099607053,20141.823550877634,0.0007043425457467107,10057.601774311766,282.4929670710261,1.31323603994989,4.709895744910444,7.816989477485476,790.1727445608379,0.3442822992801666,0.0732035222023991
Turkey,3033,27621,Genc,2019,0.1005385854016781,3.208144354048114,21028.862696387423,0.0006596600899753148,10126.843609618572,281.4589249439931,1.272129832460776,5.397405531132918,9.470571074625262,905.5153177544994,0.2841320017705093,0.0622810875957057
Turkey,3033,27621,Genc,2020,0.1029271512590685,3.650694703292989,22336.59381377337,0.0006849062573403388,10085.216345083709,281.12910979660006,1.2698857307106215,4.986336588059431,8.495049213063481,836.5508453873354,0.3210197942597525,0.0649896207919786
Turkey,3033,27621,Genc,2021,0.09844,3.84202,22719.90691,0.0006089517811312854,10204.314141839206,281.1815065158869,1.2656778586767483,6.069381190112782,10.391689635318526,1018.2517517420192,0.296240230401357,0.0610230232288157
Turkey,3033,27621,Genc,2022,0.09394,4.03334,23103.22002,0.0005950303793183333,10226.229955840525,280.16205098969,1.211688834722743,6.233652642017743,10.671218669899714,1045.8113477574943,0.2845800071954727,0.0554693918887884
Turkey,3033,27621,Genc,2023,0.08945,4.22466,23486.53312,0.0007123456353447333,10043.46222046152,280.7194293472471,1.0898189179333937,6.1348184637587,9.892703989667377,1029.230073325729,0.3451338907082875,0.0696324555457272
Turkey,3033,27621,Genc,2024,0.08496,4.41599,23869.84622,0.0007292705479784392,10013.051991146123,281.34073518914863,1.4541259611537505,5.436398005697884,8.722279242518779,912.0570316931808,0.336673093693597,0.0633293783064183
Turkey,3033,27622,Karliova,2015,0.1353018044062132,2.1920368079243007,12930.6343633851,0.0008783928996649234,1117.81813350092,274.6707320155216,1.08743658378429,1.8097541836708164,3.799517551460328,374.0158646253021,0.2681603580713272,0.0456315138670906
Turkey,3033,27622,Karliova,2016,0.3561536936684653,2.484297419534056,14604.677191905384,0.0008994108683023651,1069.4326508939075,274.17340956528403,0.9180770076147704,1.7102092944042877,3.2015438950755284,353.4432541768861,0.2438700348138809,0.0415323065502808
Turkey,3033,27622,Karliova,2017,0.3543546146753725,2.510934655657279,14529.238153071146,0.0008017813216167378,1004.4129110255482,274.4582418627982,1.2281938845903144,1.7724319565386917,3.163774811282788,366.3026043513297,0.21909881234169,0.0423958113009952
Turkey,3033,27622,Karliova,2018,0.1312958443103578,2.7183013420590125,14891.407637550568,0.000991913579515706,1173.6788268077423,276.7997371130873,1.1267290757269444,2.18533260897819,4.397546082331018,451.6354058554926,0.2909755408763885,0.0478436964313242
Turkey,3033,27622,Karliova,2019,0.1254768614350652,3.1571185718632497,15971.423821161345,0.0008840163224147374,1183.5344033613956,275.60402667518235,1.0948816450540737,2.896541218060357,5.579080557315108,598.6185183991405,0.2174680978059768,0.0446934411606053
Turkey,3033,27622,Karliova,2020,0.1694415749105912,3.6217651908305326,17021.23888210601,0.000943059174031212,1205.7671191712825,275.9058076750657,1.11853053745944,2.680210781721465,5.1319827188639655,553.9102282224362,0.2602469176054001,0.0469341209586491
Turkey,3033,27622,Karliova,2021,0.15184,3.8653,17604.0854,0.0007841488028594829,1103.094279302904,275.5689162398735,0.880945321927263,3.268753697053333,6.167742193092657,675.5424307243557,0.2267899587750435,0.0443823432796791
Turkey,3033,27622,Karliova,2022,0.13424,4.10883,18186.93193,0.0008106620964250034,1067.6118748085785,274.5315046302827,1.0316399413535686,3.611737824161924,6.453511165158894,746.4258169934643,0.2451371401548385,0.0435533637676089
Turkey,3033,27622,Karliova,2023,0.11664,4.35237,18769.77845,0.0009693338020821264,1158.0696450843463,275.38992610795907,1.108566674018986,3.250735307258456,4.913410758981662,671.8186301667477,0.315684974193573,0.0504925565461265
Turkey,3033,27622,Karliova,2024,0.09904,4.5959,19352.62497,0.0010116383416555,1159.0650210837448,275.4347077849052,1.1833312368107871,3.259062630529998,4.85243390331906,673.539610309533,0.2684616496165593,0.0470709980940836
Turkey,3033,27624,Merkez,2015,0.2322291354437181,5.765180969536128,92034.17246822114,0.0030397129371362,13358.128919842316,279.56429143626127,1.374594613847146,6.254996746660261,11.74679244583811,3709.4583647596,0.3682578772306442,0.0666394443347522
Turkey,3033,27624,Merkez,2016,0.3594366785041487,6.09798199096972,98031.2288435919,0.0030287102327846,13379.92552222428,279.2425211898204,1.57691983224277,6.568733989360124,12.65321128454462,3895.516853101901,0.296070741282569,0.0495388662897121
Turkey,3033,27624,Merkez,2017,0.3604483933310576,6.10806898738246,98218.56433973597,0.0028131339489587,13534.152717934085,279.4011685226098,1.3093578425962693,7.129626193393217,12.929384486101684,4228.147925866232,0.2921709954738617,0.0517565344098339
