system:index,Country,Mean_Precip,Region,StdDev_Precip,Sum_Precip,Year,.geo
3_000000000000000000e4,United Republic of Tanzania,621.7568787044224,Singida,35.268836195339674,21805.37947550451,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e5,United Republic of Tanzania,960.3926522954091,Tabora,125.36407920387761,53427.96143318695,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000000000000000000e6,United Republic of Tanzania,1101.0908176715557,Tanga,268.29913626639166,14314.180629730225,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000c9,United Republic of Tanzania,845.5297262799797,Arusha,228.26464106583418,39471.31710445835,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d7,United Republic of Tanzania,717.8870397247423,Manyara,85.57897384082952,31758.759588763995,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000cc,United Republic of Tanzania,974.2211995698533,Geita,61.940018588950316,23557.050653128295,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000cd,United Republic of Tanzania,1015.8436460213603,Iringa,150.88657969534327,13349.380618892465,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000ce,United Republic of Tanzania,1063.7684600673608,Kagera,146.2040113061727,68323.13662346367,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d1,United Republic of Tanzania,1086.7816871523858,Katavi,49.555334639950765,10867.816871523857,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000dd,United Republic of Tanzania,891.7406547399919,Mwanza,84.36166519820584,53966.046211559034,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000de,United Republic of Tanzania,979.9669524726764,Njombe,157.97085239560337,17493.370853551463,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e0,United Republic of Tanzania,1030.8296469449997,Rukwa,122.73873301020924,4123.318587779999,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e2,United Republic of Tanzania,878.1788819216459,Shinyanga,58.810736285927085,48843.96502860668,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e3,United Republic of Tanzania,896.0127815879283,Simiyu,66.86903481973327,34087.13723209605,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000ca,United Republic of Tanzania,1070.9621408967469,Dar-es-salaam,128.19725241075392,38970.422374042806,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000cb,United Republic of Tanzania,670.1017846095393,Dodoma,54.24996375821053,20055.752235843152,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000cf,United Republic of Tanzania,1400.4236316680908,Kaskazini Pemba,0.0,1059.9284741644765,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d0,United Republic of Tanzania,650.5115880966187,Kaskazini Unguja,0.0,298.47002277374264,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d2,United Republic of Tanzania,1099.4642920555816,Kigoma,120.29862176491324,11822.474858103547,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d3,United Republic of Tanzania,1093.1625340386245,Kilimanjaro,311.1864072040647,65371.119535509744,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d4,United Republic of Tanzania,1400.4236316680908,Kusini Pemba,0.0,335.0033001245237,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d5,United Republic of Tanzania,672.4370314738812,Kusini Unguja,29.595530145921625,2600.089855032341,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d6,United Republic of Tanzania,1135.5785113573074,Lindi,87.7209259271619,2271.157022714615,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d8,United Republic of Tanzania,1004.7583508023414,Mara,92.39216751182055,83272.79602296736,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000d9,United Republic of Tanzania,1215.2581107881124,Mbeya,210.39554631801886,69898.78710168331,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000da,United Republic of Tanzania,633.7722367802712,Mjini Magharibi,32.3402810361521,1814.3283641160704,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000db,United Republic of Tanzania,1220.7271177551963,Morogoro,369.92740016821915,13427.99829530716,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000dc,United Republic of Tanzania,,Mtwara,,0.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000df,United Republic of Tanzania,1080.555890989939,Pwani,106.64295088807712,26390.988584648396,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e1,United Republic of Tanzania,916.3836668161658,Ruvuma,97.62720757740956,22629.286078201556,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e4,United Republic of Tanzania,708.0577268504888,Singida,49.87770691453069,24832.00098519185,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e5,United Republic of Tanzania,915.9052060771129,Tabora,122.23027178214673,50953.06373886244,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000000000000000000e6,United Republic of Tanzania,924.8811748486298,Tanga,151.0366116606111,12023.455273032188,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000c9,United Republic of Tanzania,691.3937674454683,Arusha,218.22414421421763,32275.88787321904,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d7,United Republic of Tanzania,560.0114043378288,Manyara,81.17167576782471,24774.465303274697,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000cc,United Republic of Tanzania,932.2255083974252,Geita,78.53173325268632,22541.578371680484,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000cd,United Republic of Tanzania,804.6049387653135,Iringa,138.88600253260316,10573.455489421825,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000ce,United Republic of Tanzania,1361.5730291742418,Kagera,387.60775645434273,87450.36498751267,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d1,United Republic of Tanzania,1006.0587824970484,Katavi,36.11230717777904,10060.587824970484,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000dd,United Republic of Tanzania,878.2882005088031,Mwanza,94.59956223833197,53151.93533432098,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000de,United Republic of Tanzania,1004.2002950849139,Njombe,238.17168766218842,17925.959777358934,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000e0,United Republic of Tanzania,969.8553389571025,Rukwa,100.17659601405182,3879.42135582841,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000e2,United Republic of Tanzania,793.5136582728361,Shinyanga,69.26296648282597,44134.918491308366,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000e3,United Republic of Tanzania,847.4208734773283,Simiyu,67.36060807667981,32238.54860236691,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000ca,United Republic of Tanzania,2037.3543000861816,Dar-es-salaam,263.23378750510904,74135.72764901836,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000cb,United Republic of Tanzania,476.36368661708894,Dodoma,55.370362335982854,14257.284926516168,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000cf,United Republic of Tanzania,2658.3396944999695,Kaskazini Pemba,0.0,2011.9982785823297,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d0,United Republic of Tanzania,1234.6457142829895,Kaskazini Unguja,0.0,566.4845042004305,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d2,United Republic of Tanzania,1104.3887676662728,Kigoma,135.6878627705062,11875.427454670273,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d3,United Republic of Tanzania,1010.258012963464,Kilimanjaro,295.2572744609988,60413.429175215155,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000000000000000000d4,United Republic of Tanzania,2658.3396944999695,Kusini Pemba,0.0,635.9165543705809,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
