Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Republika Srpska,Doboj,2022,6266,0.208659232,17.06491558
Bosnia and Herzegovina,Republika Srpska,Doboj,2021,6266,0.216054812,17.96582685
Bosnia and Herzegovina,Republika Srpska,Doboj,2023,6266,0.220714226,18.54164306
Bosnia and Herzegovina,Republika Srpska,Doboj,2024,6266,0.224816352,19.05374227
Bosnia and Herzegovina,Republika Srpska,Foca,2020,6268,0.206902668,16.85332756
Bosnia and Herzegovina,Republika Srpska,Foca,2021,6268,0.200222015,16.05715408
Bosnia and Herzegovina,Republika Srpska,Foca,2022,6268,0.156354204,11.18644584
Bosnia and Herzegovina,Republika Srpska,Foca,2023,6268,0.163048238,11.88762704
Bosnia and Herzegovina,Republika Srpska,Foca,2024,6268,0.197830394,15.77546344
Bosnia and Herzegovina,Republika Srpska,Gacko,2020,6269,0.163938403,11.98205497
Bosnia and Herzegovina,Republika Srpska,Gacko,2021,6269,0.123659343,7.997285189
Bosnia and Herzegovina,Republika Srpska,Gacko,2022,6269,0.16606304049491882,12.20854813
Bosnia and Herzegovina,Republika Srpska,Gacko,2023,6269,0.151898339,10.72853956
Bosnia and Herzegovina,Republika Srpska,Gacko,2024,6269,0.206799239,16.8408979
Bosnia and Herzegovina,Republika Srpska,Gorazde,2020,6271,0.207328588,16.90454679
Bosnia and Herzegovina,Republika Srpska,Gorazde,2021,6271,0.1998157799243927,16.0091818
Bosnia and Herzegovina,Republika Srpska,Gorazde,2022,6271,0.177647024,13.47062732
Bosnia and Herzegovina,Republika Srpska,Gorazde,2023,6271,0.211766899,17.44151272
Bosnia and Herzegovina,Republika Srpska,Gorazde,2024,6271,0.228981376,19.57855019
Bosnia and Herzegovina,Republika Srpska,Gracanica,2020,6272,0.243231028,21.41000074
Bosnia and Herzegovina,Republika Srpska,Gracanica,2021,6272,0.217141941,18.09961338
Bosnia and Herzegovina,Republika Srpska,Gracanica,2022,6272,0.191671073,15.05824071
Bosnia and Herzegovina,Republika Srpska,Gracanica,2023,6272,0.235824317,20.45120424
Bosnia and Herzegovina,Republika Srpska,Gracanica,2024,6272,0.230651796,19.79038649
Bosnia and Herzegovina,Republika Srpska,Gradacac,2020,6273,0.263193488,24.06450632
Bosnia and Herzegovina,Republika Srpska,Gradacac,2021,6273,0.198650748,15.87188662
Bosnia and Herzegovina,Republika Srpska,Gradacac,2022,6273,0.21185263991355896,17.45194383
Bosnia and Herzegovina,Republika Srpska,Gradacac,2023,6273,0.247489542,21.96780342
Bosnia and Herzegovina,Republika Srpska,Gradacac,2024,6273,0.242812768,21.35546976
Bosnia and Herzegovina,Republika Srpska,Han Pijesak,2020,6274,0.202704877,16.3514596
Bosnia and Herzegovina,Republika Srpska,Han Pijesak,2021,6274,0.163599253,11.94604564
Bosnia and Herzegovina,Republika Srpska,Han Pijesak,2022,6274,0.1663767397403717,12.242121696472168
Bosnia and Herzegovina,Republika Srpska,Han Pijesak,2023,6274,0.168581843,12.4790823
Bosnia and Herzegovina,Republika Srpska,Han Pijesak,2024,6274,0.180487275,13.78696557
Bosnia and Herzegovina,Republika Srpska,Ilidza,2020,6275,0.0416061095893383,1.922318485
Bosnia and Herzegovina,Republika Srpska,Ilidza,2021,6275,0.04571430757641792,2.154475122
Bosnia and Herzegovina,Republika Srpska,Ilidza,2022,6275,0.04153444245457649,1.918340339
Bosnia and Herzegovina,Republika Srpska,Ilidza,2023,6275,0.042543675750494,1.974588872
Bosnia and Herzegovina,Republika Srpska,Ilidza,2024,6275,0.04297113046050072,1.998560007
Bosnia and Herzegovina,Republika Srpska,Ilija[,2020,6276,0.279212683,26.26437596
Bosnia and Herzegovina,Republika Srpska,Ilija[,2021,6276,0.242582858,21.32551468
Bosnia and Herzegovina,Republika Srpska,Ilija[,2022,6276,0.253558993,22.77086329
Bosnia and Herzegovina,Republika Srpska,Ilija[,2023,6276,0.239570946,20.93437934
Bosnia and Herzegovina,Republika Srpska,Ilija[,2024,6276,0.283903033,26.91952285
Bosnia and Herzegovina,Republika Srpska,Jajce,2020,6277,0.196432725,15.6116664
Bosnia and Herzegovina,Republika Srpska,Jajce,2021,6277,0.194768235,15.41739759
Bosnia and Herzegovina,Republika Srpska,Jajce,2022,6277,0.154015884,10.94526031
Bosnia and Herzegovina,Republika Srpska,Jajce,2023,6277,0.171490982,12.79424878
Bosnia and Herzegovina,Republika Srpska,Jajce,2024,6277,0.209175974,17.12733639
Bosnia and Herzegovina,Republika Srpska,Kalesija,2020,6278,0.253667951,22.78536481
Bosnia and Herzegovina,Republika Srpska,Kalesija,2021,6278,0.229065239,19.58916704
Bosnia and Herzegovina,Republika Srpska,Kalesija,2022,6278,0.180854619,13.8280742
Bosnia and Herzegovina,Republika Srpska,Kalesija,2023,6278,0.219914913,18.4424178
Bosnia and Herzegovina,Republika Srpska,Kalesija,2024,6278,0.190095842,14.87674027
Bosnia and Herzegovina,Republika Srpska,Kalinovik,2020,6279,0.200876296,16.13452502
Bosnia and Herzegovina,Republika Srpska,Kalinovik,2021,6279,0.176683813,13.36395714
Bosnia and Herzegovina,Republika Srpska,Kalinovik,2022,6279,0.185493484,14.35101155
Bosnia and Herzegovina,Republika Srpska,Kalinovik,2023,6279,0.168202877,12.43823955
Bosnia and Herzegovina,Republika Srpska,Kalinovik,2024,6279,0.202328026,16.30666783
Bosnia and Herzegovina,Republika Srpska,Kladanj,2020,6280,0.24889490008354187,22.15291372
Bosnia and Herzegovina,Republika Srpska,Kladanj,2021,6280,0.237696618,20.69219062
Bosnia and Herzegovina,Republika Srpska,Kladanj,2022,6280,0.247119814,21.9191882
